"","bcc-csm1-1","BNU-ESM","CanESM2","CCSM4","CESM1-BGC","GFDL-ESM2G","GISS-E2-R","HadGEM2-ES","inmcm4","IPSL-CM5A-LR","MIROC5","MPI-ESM-LR","MRI-CGCM3","NorESM1-M"
"Global",0.854868897458852,0.799550677244035,0.985504058697248,0.824114080532758,0.853481817089148,0.920967968314483,0.899572244560283,0.984970826141395,0.861014211677903,1.02170428678768,0.992603576506755,0.990619480542865,0.922221708634531,0.855533222956308
"Rock",0.842618509960702,0.865905408920742,0.996066875641141,0.834957042338378,0.819516099558001,1.0049760127114,0.849378408387686,0.97084642392968,0.778873036817614,1.02499913426208,0.946517468747691,0.998768311263498,0.894306347339685,0.830788649970647
"ShiftingSand",1.01533455748398,1.03750513502101,1.03072309215678,1.01662744617968,0.99652756656722,0.975411358309765,1.03179221709778,0.984031828969474,0.991106154671079,1.02658018315884,1.00744296978205,0.987235399753212,1.04000776446985,0.994191047486
"Gelisol",0.653886853835342,0.497023597263839,1.01305254399453,0.7079792338963,0.830872863125511,0.982441603779133,0.876783538361039,0.947046129232416,0.828652740404255,1.01725212661122,1.10845290102666,0.986421874156908,0.874456560715027,0.826506205210239
"Histosol",0.594996727653129,0.596393831964097,0.974724961471085,0.636875766026584,0.688728631672186,0.969655692379348,0.742684468302789,0.975490857672098,0.596163410146504,1.01174064869866,0.869476937353948,0.974997801168561,0.687846221317653,0.688642065454218
"Spodosol",0.518757343459735,0.585437090853392,0.84808116903068,0.588227081088812,0.624915670587661,0.876318872637987,0.686947197164346,0.967561104944717,0.530778290656075,1.01113706454837,0.874430136626244,0.988738811758915,0.55542847503476,0.658503939635009
"Andisol",0.789337204517276,0.810259611161365,0.846722818654589,0.776305529307145,0.790493405765122,0.831284903620234,0.871799162409237,0.97890556994641,0.816455049527598,1.01818560249533,0.891483361417043,0.887090657861678,0.862057034103156,0.832800325493169
"Oxisol",1.03215210534096,1.02256500374286,0.951962036901683,0.906559031018208,0.908708673138545,0.87805640297975,0.961296914398253,1.01456220137962,0.956194455687369,1.02377564228621,0.993212508463896,1.00509717932232,1.009144977302,0.971101568060384
"Vertisol",1.01849997137425,1.01476467036254,0.992244411788316,0.894384165674963,0.891422614102684,0.83523240669914,0.999655608936333,0.985910482283131,0.977377403613568,1.02624410513012,1.00039408950389,0.998407113905968,1.04339128193097,0.890690253926631
"Aridisol",0.974768281173919,0.960689363763086,1.02012960925251,0.967950590662322,0.956122312306218,0.966696365932855,0.959319442281503,0.992676281421419,0.953863826999313,1.02450348331866,0.998749615196929,0.994721048504739,1.00168003440315,0.949277278979148
"Ultisol",1.02594701168183,1.01334793230394,0.948437072020474,0.879508462456086,0.892873836848957,0.829545068147224,0.930686017814019,1.01876119994801,0.981836747344033,1.02745537125549,0.982712481845048,0.985872097411114,1.02151378454134,0.923154137983666
"Mollisol",0.8322665044318,0.80114372879626,0.967018531626294,0.813392337620841,0.815446172132475,0.859452412132406,0.725536226230817,0.973234563888205,0.794443207990871,1.00865916242031,0.966662149447341,0.989183141349401,0.837418593823717,0.803877581144241
"Alfisol",0.879747953733887,0.835523494557554,0.956294781034797,0.788065090257704,0.824664652031849,0.85896952594273,0.85247710097778,0.990518764221484,0.846898540288479,1.0166246098673,0.948184599355455,0.995007102392355,0.899442050675552,0.825680713772455
"Inceptisol",0.7314315867548,0.706098743234986,1.00135969787672,0.720652200182449,0.754652684161424,0.924655816109436,0.845995693418621,0.977120200849289,0.732193641041864,1.01905714861322,0.960827962995141,0.987974975338146,0.832637866692799,0.763851659729311
"Entisol",0.996389557442618,0.978443850017557,1.00383372796798,0.949235800636837,0.948821722067263,0.948917389941753,0.987057062477035,0.997275231368789,0.967407183269591,1.03024367251787,0.999430302844378,0.994254009025969,1.00191210951804,0.95540665896036
"GreatPlains",0.719630747278919,0.769454923059134,0.969209835598874,0.719046352718875,0.748329011436565,0.806277194600812,0.702822113195605,0.962908854390962,0.851707318322944,0.99587132823144,0.95439857771826,0.992402819885446,0.85330673592145,0.822439654158328
"PampasPlain",0.963019599182601,0.927219076519334,0.985105845565236,0.831230446644967,0.77951935013886,0.877465621688432,0.698945793557714,0.845317187354063,0.969663669838339,0.998567851760689,1.03222673255699,1.00394573312997,0.941690101327202,0.716898473174304
"EurasianSteppe",0.836132801476251,0.78267359667586,0.928205275420655,0.928299073968144,0.864923907130609,0.833034698564257,0.622929398168546,0.973323426339367,0.70565357639903,0.998179398246973,0.959384425540606,0.972835347704056,0.675377499495476,0.856382313645815
"ChinaMoll",0.862025978825721,0.849063411618074,1.09233446557282,0.968179747661891,0.82450175608346,0.825638851512996,0.761738190500922,0.988958479178916,0.725107156045835,1.02524344635763,0.973614365832595,0.9986652167319,1.05436842674299,0.826596739816929
