"","bcc-csm1-1","BNU-ESM","CanESM2","CCSM4","CESM1-BGC","GFDL-ESM2G","GISS-E2-R","HadGEM2-ES","inmcm4","IPSL-CM5A-LR","MIROC5","MPI-ESM-LR","MRI-CGCM3","NorESM1-M"
"Global",2.09489321708679,2.68530654907227,3.12507891654968,2.05547189712524,2.04344606399536,1.56618547439575,3.51818299293518,3.57241415977478,1.60740745067596,2.82894611358643,2.54315781593323,2.33042526245117,2.01678562164307,2.47473502159119
"Rock",2.10446262359619,2.67653632164001,3.25452589988708,2.1228940486908,2.06632709503174,1.61634063720703,3.80299258232117,3.58135199546814,1.69376230239868,2.98655605316162,2.85848474502563,2.29419732093811,2.10806035995483,2.62729811668396
"ShiftingSand",2.00584864616394,2.22081804275513,3.05165243148804,1.9098926782608,1.89253497123718,1.58099448680878,3.80389475822449,3.26854515075684,1.52090322971344,2.72223877906799,2.4415340423584,2.3083713054657,2.25261831283569,2.13023853302002
"Gelisol",3.07053065299988,4.98335886001587,4.39671421051025,3.37975835800171,2.97690010070801,2.08382749557495,4.28188419342041,5.64374542236328,2.36080050468445,3.6443784236908,3.93061590194702,3.41558051109314,2.77595639228821,4.35004329681396
"Histosol",2.27033352851868,3.51207613945007,3.39568853378296,2.44101786613464,2.30940699577332,1.58429205417633,3.63020086288452,4.20785093307495,1.79798758029938,3.20575404167175,2.93602156639099,2.44779992103577,2.07178807258606,3.008469581604
"Spodosol",2.65865397453308,3.84906005859375,3.72859740257263,2.56809282302856,2.4505558013916,1.81743931770325,3.81220316886902,4.34327602386475,1.8863400220871,3.74486041069031,3.24734926223755,2.57384443283081,2.3617250919342,3.16426110267639
"Andisol",1.8361291885376,2.24285268783569,2.68168592453003,1.81785905361176,1.79453682899475,1.4610161781311,3.05478596687317,2.98985767364502,1.31956136226654,2.45109677314758,1.95253002643585,1.95814883708954,1.77636861801147,2.04293632507324
"Oxisol",1.89867925643921,1.88445889949799,3.36306047439575,1.61976957321167,1.6909396648407,1.40981209278107,3.22696304321289,3.05507850646973,1.31566178798676,2.42678570747375,1.96566045284271,2.16636610031128,1.71629214286804,1.80215430259705
"Vertisol",1.81612133979797,1.79752063751221,2.56909966468811,1.61885321140289,1.65976631641388,1.41864454746246,3.25653338432312,2.85157704353333,1.49819183349609,2.43086576461792,1.94351708889008,2.14562129974365,1.88159120082855,1.54099225997925
"Aridisol",1.9166339635849,2.35333585739136,2.95952725410461,1.86137688159943,1.87369430065155,1.55189979076385,3.40790891647339,3.19683289527893,1.52877795696259,2.68510985374451,2.38230800628662,2.1676914691925,1.92824172973633,2.19901394844055
"Ultisol",1.81169295310974,1.94276905059814,2.63045930862427,1.61737453937531,1.74833607673645,1.27963221073151,3.02023315429688,2.96973538398743,1.25583136081696,2.3831033706665,2.05440402030945,1.90965688228607,1.66916286945343,1.80972099304199
"Mollisol",2.00141525268555,2.83678674697876,3.10124087333679,2.108562707901,2.23564600944519,1.58109939098358,3.52792882919312,3.66148495674133,1.73327827453613,2.85159111022949,2.77974367141724,2.19208216667175,1.84275305271149,2.93617391586304
"Alfisol",1.87390005588531,2.46016597747803,2.7826726436615,1.81713724136353,1.90900635719299,1.49605929851532,3.35380244255066,3.22300910949707,1.56938195228577,2.7427442073822,2.33408212661743,2.12322473526001,1.86594438552856,2.18077206611633
"Inceptisol",2.16923546791077,2.93977522850037,3.06541156768799,2.23247599601746,2.15296602249146,1.48983085155487,3.44990396499634,3.76096105575562,1.65804922580719,2.92428088188171,2.50819492340088,2.43210244178772,2.00474333763123,2.71560502052307
"Entisol",1.93139338493347,2.12878060340881,2.87565398216248,1.767338514328,1.82732677459717,1.54281330108643,3.53495979309082,3.17495512962341,1.43089258670807,2.66062235832214,2.31598210334778,2.17456674575806,1.99888563156128,2.04655432701111
"GreatPlains",2.12600135803223,3.34947657585144,3.53750419616699,2.41450881958008,2.74477815628052,1.90923416614532,3.54396438598633,4.01381254196167,1.67504954338074,2.74027228355408,3.65475916862488,2.23016667366028,1.72861325740814,3.29535222053528
"PampasPlain",1.62391364574432,1.54108142852783,2.43530511856079,1.51418721675873,1.40619170665741,1.32674527168274,1.43278694152832,1.73836398124695,1.45451354980469,1.99153709411621,1.29519987106323,1.79415166378021,0.979330241680145,1.09965121746063
"EurasianSteppe",2.11289262771606,3.0718297958374,3.07293653488159,1.85874283313751,2.21656823158264,1.6870049238205,3.96369385719299,3.84120392799377,1.9382997751236,3.35248064994812,2.78995394706726,2.25199389457703,2.26829528808594,3.1443018913269
"ChinaMoll",2.06077027320862,2.6168053150177,2.5461733341217,1.94572055339813,1.86168003082275,1.2945704460144,4.17934608459473,3.91382312774658,1.68927776813507,2.94883251190186,2.71799683570862,2.23542547225952,1.72335970401764,2.97390818595886
