"","bcc-csm1-1","BNU-ESM","CanESM2","CCSM4","CESM1-BGC","GFDL-ESM2G","GISS-E2-R","HadGEM2-ES","inmcm4","IPSL-CM5A-LR","MIROC5","MPI-ESM-LR","MRI-CGCM3","NorESM1-M"
"Global",1.82013977163724,2.17299166639698,3.0892570823431,1.72362611370463,1.77240918765951,1.50068767865499,3.17492039234201,3.44237426766809,1.34009730821893,2.84025060563642,2.53883647918701,2.27689701032634,1.85313774645329,2.12225514529013
"Rock",1.81143433193211,2.35204115629173,3.24751241207123,1.7867963740594,1.694360880736,1.73197333017985,3.24298605714905,3.47362779671291,1.25537568352995,2.97923282019532,2.7034729548863,2.26892204858181,1.85547405481339,2.19303558813822
"ShiftingSand",2.03171033053406,2.27077699456053,3.16307276785374,1.97175487007259,1.91052532305039,1.58577398459117,3.92078178053648,3.23270881625841,1.50449061422744,2.8223198107827,2.46848893165588,2.28754442325695,2.33267849683762,2.13127189998767
"Gelisol",2.11007261566206,2.63322536541922,4.43249025940895,2.44862896045607,2.54820741008005,1.9874720176061,3.73033217138518,5.34032969204885,1.90052378172618,3.68624546350555,4.38482529776437,3.36393792892875,2.39727595448494,3.50386603892294
"Histosol",1.42004043960087,2.14495316678813,3.30590224564075,1.73788190474201,1.69986901623855,1.70033474763234,2.89790152834704,3.9196175426807,1.04391849040116,2.97868612012063,2.56718502725874,2.20257297421474,1.4803482145071,2.21360617111627
"Spodosol",1.43399416140002,2.26689074407636,3.13237217664719,1.58906021508509,1.64063898077489,1.72021881739299,2.66930992721992,3.71743634286916,1.03631162619009,3.35289658206889,2.84680335862296,2.30850727174649,1.37921074032784,2.1431408067982
"Andisol",1.45224735202641,1.83125743391905,2.26169947683811,1.41056387213336,1.43018573257814,1.255601922671,2.66651584029251,2.67841935607622,0.993063330500076,2.44191396949399,1.75596538611821,1.68526575735893,1.53580908477306,1.70175108781972
"Oxisol",1.96605170911258,1.92827436975829,3.22449406385422,1.48997472506294,1.55412377418771,1.25885800520579,3.09970666724809,3.06237601559117,1.17764079569177,2.49150279129335,1.96214427266802,2.1872053814062,1.70079264044762,1.74593002470823
"Vertisol",1.84220189739795,1.8260083013523,2.5520310819149,1.45945605672804,1.48309938799907,1.21180852254232,3.23042633456225,2.78746656651767,1.3771952388804,2.50149346476044,1.95756011349814,2.14763335666111,1.94299481809139,1.38167554368011
"Aridisol",1.87614568951541,2.25790118066411,3.0396548718214,1.81860097877475,1.79460628335615,1.58372131983439,3.27375744903564,3.1551278649636,1.41277605314742,2.74188804374512,2.39381272452218,2.14825726952728,1.91676039993763,2.09621648076555
"Ultisol",1.8563580641656,1.96646643094617,2.51330089569092,1.44607341295334,1.57815247450775,1.09278841813405,2.82798922901584,2.99710319402083,1.22629946472965,2.45163461440187,2.02376781191145,1.88677557628247,1.67316623032093,1.66465824577747
"Mollisol",1.71035364128044,2.29332492923986,3.03579029142857,1.71280421081855,1.8150170747269,1.58247836430868,2.6165111332373,3.39984591726987,1.26037818206399,2.76609686247656,2.71327369553702,2.09892340166755,1.53590823709965,2.3659354255914
"Alfisol",1.66116640714031,2.06157216995077,2.67815868556499,1.45112805648349,1.58766674246499,1.38374729951223,2.87132721470866,3.10740818167632,1.2919907569678,2.69398876369901,2.23237541743687,2.06311061679399,1.66616895794868,1.81692236136955
"Inceptisol",1.6573001673056,2.15176581519347,3.0722017198801,1.65942519430561,1.6850114353552,1.41711517175039,2.93946624815395,3.53124400579704,1.17576801768413,2.91318575179611,2.42759690965925,2.34208568854746,1.69724389910698,2.11065697732859
"Entisol",1.92675531802084,2.0703209911194,2.89640290141106,1.69643344589917,1.74471355825809,1.50695558389028,3.48114253200488,3.1475949107476,1.3496925833472,2.7445409867649,2.32359252657209,2.15859608068479,1.9924788326025,1.96128120795039
"GreatPlains",1.57423249597873,2.58368825547428,3.48777928054333,1.71339390633576,2.01345003049519,1.85105335712433,2.56880976543824,3.64717208214526,1.29847514661621,2.64202652129624,3.49184349605015,2.11746983905851,1.50617626309395,2.66877405624909
"PampasPlain",1.57355347036357,1.41453531759086,2.37156238853931,1.27945154014884,1.10751203962745,1.16262455781301,1.08719352049355,1.47266961268659,1.36057239817564,1.98458727196681,1.34056987081255,1.80108310038392,0.929162375628948,0.799507091284657
"EurasianSteppe",1.79009049379175,2.41316791511761,2.92562358677387,1.72652459283996,1.93712062195125,1.71592613061269,2.51290130779289,3.44912652249606,1.34814500793144,3.02007997154884,2.72323049817766,2.09190726023632,1.48698657751083,2.71937937489227
"ChinaMoll",1.98035380909501,2.35487342504329,2.81073995530605,1.85025491865108,1.50862336271486,1.30306355158488,3.30836485189215,4.13838857074953,1.15628373589561,3.05227936591385,2.68028637341091,2.23170324513579,1.84431357681751,2.51737548513098
