"","bcc-csm1-1","BNU-ESM","CanESM2","CCSM4","CESM1-BGC","GFDL-ESM2G","GISS-E2-R","HadGEM2-ES","inmcm4","IPSL-CM5A-LR","MIROC5","MPI-ESM-LR","MRI-CGCM3","NorESM1-M"
"Global",-0.739637190811854,-1.01149501927439,-0.0674862861633301,-0.682457532314246,-0.660805365246086,-0.154403209686279,-0.353323221206665,-0.0505023002624512,-0.488459348678589,0.257483959197998,-0.0665245056152344,0.0183253288269043,-0.332839012145996,-0.582503797940511
"Rock",-0.736856107773183,-0.784254355939303,-0.10861873626709,-0.79994332434834,-0.746415895784895,-0.0182108879089355,-0.572812795639038,-0.205084323883057,-0.788540124893188,0.224709987640381,-0.250145435333252,0.0194354057312012,-0.53350305557251,-0.780688778947749
"ShiftingSand",0.0716570152890537,0.0645351224965696,0.214344024658203,0.0524394940281967,0.0532574585375221,0.0582923889160156,0.120934247970581,-0.0559873580932617,-0.00180196762084961,0.385203838348389,0.0566496849060059,0.056635856628418,0.208193302154541,0.0290850003605003
"Gelisol",-2.77757608878501,-4.74669313104796,-0.170065879821777,-2.45251131819962,-2.23682056259642,-0.0665349960327148,-0.52759861946106,-0.574796676635742,-1.30490946769714,0.201028347015381,0.511093139648438,-0.105274677276611,-1.03595972061157,-1.67101774626054
"Histosol",-2.06861677211028,-2.46663074968485,-0.219422817230225,-1.47700221487298,-1.28562347707554,-0.363948822021484,-0.934107065200806,-0.108248233795166,-1.39926075935364,0.103989601135254,-0.759414196014404,-0.0934152603149414,-1.23120355606079,-1.53091107382459
"Spodosol",-2.52865965742038,-2.70639679601894,-0.876934051513672,-1.79684006301058,-1.63321759522217,-0.656755208969116,-1.19342088699341,-0.166991710662842,-1.67539715766907,0.0988521575927734,-0.881381034851074,-0.0415129661560059,-1.93632769584656,-1.81212996167051
"Andisol",-0.608181079576666,-0.684547567409418,-0.599082469940186,-0.535636508787973,-0.606628129311124,-0.373257637023926,-0.391626119613647,0.0249204635620117,-0.474284648895264,0.192917823791504,-0.335072755813599,-0.459350347518921,-0.403818368911743,-0.352194724440449
"Oxisol",-0.0248055613450138,0.0214356590598577,-0.150786399841309,-0.220058864719753,-0.276027174670411,-0.177266836166382,-0.124893426895142,0.171724319458008,-0.125580072402954,0.207857608795166,0.0503590106964111,0.0915160179138184,0.0393414497375488,-0.063211889482047
"Vertisol",-0.0165946925960205,-0.0302732700885202,-0.0515809059143066,-0.27697746637298,-0.31925823535197,-0.18266773223877,-0.00112152099609375,0.0169429779052734,-0.0592193603515625,0.63625431060791,-0.0742294788360596,0.183328151702881,0.128442287445068,-0.279160732946503
"Aridisol",-0.124095188506887,-0.152214928483112,0.151676654815674,-0.103978982020456,-0.111772391622076,-0.0808529853820801,-0.138635635375977,-0.0111355781555176,-0.14234471321106,0.328824520111084,0.00549936294555664,0.0694351196289062,0.0367202758789062,-0.140276841302097
"Ultisol",0.0263116352766355,0.0172457203906338,-0.170208930969238,-0.186029086959968,-0.270084347538493,-0.183263540267944,-0.209344387054443,0.196032047271729,-0.0461006164550781,0.210485935211182,-0.0146801471710205,0.00679826736450195,0.0557122230529785,-0.136260588466528
"Mollisol",-0.868723280346913,-0.961787397251758,-0.179604530334473,-0.761365341331643,-0.709120607129807,-0.408715963363647,-0.968288660049438,-0.193099975585938,-0.667973279953003,0.158609867095947,-0.198805809020996,0.0298786163330078,-0.558704137802124,-0.784379911771385
"Alfisol",-0.530764433143327,-0.6800636418009,-0.123034000396729,-0.484406020417787,-0.492756875828658,-0.19817042350769,-0.494762659072876,0.0465741157531738,-0.438793659210205,0.285759925842285,-0.205447673797607,0.0785841941833496,-0.304478168487549,-0.426853209821619
"Inceptisol",-1.30424059454273,-1.71041989403343,-0.0352439880371094,-1.25360756804744,-1.18010382835842,-0.181378841400146,-0.531300067901611,-0.105661392211914,-0.947263479232788,0.163744449615479,-0.245261192321777,-0.0418696403503418,-0.765258312225342,-1.12116412287153
"Entisol",-0.0257951865015551,-0.108770452284512,0.0685687065124512,-0.0880889557669478,-0.123337851811383,-0.0365545749664307,-0.0457527637481689,0.0302233695983887,-0.0878767967224121,0.33381986618042,-0.00371742248535156,0.0548200607299805,0.0535831451416016,-0.0793537562779285
"GreatPlains",-1.29214717276935,-0.9720676163654,-0.0756802558898926,-0.883970806234818,-0.878775978161846,-0.605872631072998,-1.05318784713745,-0.387618064880371,-0.481684684753418,0.0311698913574219,-0.304591655731201,0.0259008407592773,-0.465039253234863,-1.0315122140985
"PampasPlain",-0.23760232773803,-0.0331368912216217,-0.0572457313537598,-0.251270215589466,-0.583585059221043,0.0693864822387695,-0.431346535682678,-0.26697564125061,-0.0928444862365723,0.25607967376709,0.0614805221557617,0.0621118545532227,-0.0512685775756836,-0.170626658159401
"EurasianSteppe",-0.716046520676204,-1.01862869797037,-0.337256908416748,-0.489157967022954,-0.466457344619049,-0.651149034500122,-1.4945924282074,-0.234210968017578,-1.10526371002197,0.117060661315918,-0.270693302154541,0.0671396255493164,-1.07077813148499,-0.427698314263322
"ChinaMoll",-0.946371389802533,-1.43604885049662,0.226146697998047,-0.904890533530509,-0.77525674037288,-0.432203054428101,-0.995778560638428,-0.182355880737305,-0.696933269500732,0.160181522369385,-0.229056835174561,-0.00150299072265625,-0.184564113616943,-1.11357724644423
