"","tas","tsl0.01","tsl1.0","mrlsl0.01","mrlsl0.1","soil.minus.air","SAWR0.01","SAWR1.0"
"Global",4.84998708111899,4.49894225959608,4.45142292141159,-14.5769999611402,-4.82880104080976,-0.351044821522909,0.920591962575333,0.911205107940089
"Rock",5.09397075857435,4.65961872793728,4.60358650069351,-6.85788134755828,-1.05692074166957,-0.434352030637068,0.906222005201238,0.894492770685552
"ShiftingSand",4.7704336813518,4.8642506891075,4.8244928467068,-2.84703233829553,-1.28843106988609,0.093817007755706,1.01891054345627,1.00978161118763
"Gelisol",7.13814067840576,5.92688086427988,5.81585155518609,-49.336738654002,-8.28638137566206,-1.21125981412588,0.827731271606702,0.812698799025763
"Histosol",5.33034496647971,4.34221529530654,4.33254190125395,-14.2855548076818,-4.30603118164437,-0.988129671173175,0.800073955573477,0.803138357952526
"Spodosol",5.63619346278054,4.36425684646543,4.28514354318594,-26.2424046335004,-9.11401793292485,-1.27193661631511,0.75626162368848,0.746693656249156
"Andisol",4.1016491651535,3.70123187444712,3.63427327955665,-16.6115418547321,-7.06324377630772,-0.400417290706386,0.895894676233431,0.880292939803313
"Oxisol",4.22274192741939,4.1812850588578,4.13927204971138,-13.4272679314733,-9.77093030745528,-0.0414568685615858,0.986104346554358,0.97438488315811
"Vertisol",4.03196557930538,4.0086716030174,3.97095181255221,-3.58696586317076,-2.14764849049719,-0.0232939762879751,0.987996741985656,0.977859701137423
"Aridisol",4.54392571108682,4.51441490318117,4.47708011437874,-5.69632478806859,-1.87114918839646,-0.0295108079056525,0.989901245889091,0.981250799991603
"Ultisol",3.94878561156137,3.89854376753886,3.87199100988249,-8.81607282729194,-5.64222955071645,-0.0502418440225038,0.983313219690404,0.976662977681357
"Mollisol",4.94059804507664,4.43544944432577,4.38382369475064,-14.2449564807893,-2.69398699588924,-0.505148600750869,0.886993626429682,0.877472718194444
"Alfisol",4.4516864163535,4.16821409280306,4.12696213348889,-14.1547471497863,-6.02294582072698,-0.283472323550438,0.927744742409436,0.91879648975848
"Inceptisol",5.00812646320888,4.34676728664323,4.31096727518379,-17.3049048711558,-5.53514882856237,-0.66135917656565,0.858032622999086,0.85202864069104
"Entisol",4.47408676147461,4.46992728916019,4.43075079241034,-5.48885810530567,-2.56670354409878,-0.00415947231441766,0.996296193439731,0.986965731863332
"GreatPlains",5.21032539435795,4.61210557662842,4.56309915226181,-16.4268823258699,-2.02145244931617,-0.59821981772953,0.875623418997927,0.869095780953997
"PampasPlain",3.42617654800415,3.30283057719601,3.27682426825826,4.33554992858433,5.37164523314151,-0.123345970808144,0.950404779958923,0.944866178059605
"EurasianSteppe",5.07849398681096,4.50008448391881,4.43062591335252,-28.4017843326656,-11.2624201679638,-0.578409502892143,0.872150829990101,0.859305394314056
"ChinaMoll",5.1449533700943,4.6083668525873,4.65902339392623,10.2006440031723,6.80091637670201,-0.536586517507005,0.888949101184824,0.896990055988209
