"","bcc-csm1-1","BNU-ESM","CanESM2","CCSM4","CESM1-BGC","GFDL-ESM2G","GISS-E2-R","HadGEM2-ES","inmcm4","IPSL-CM5A-LR","MIROC5","MPI-ESM-LR","MRI-CGCM3","NorESM1-M"
"Global",-11.3446414217134,-47.0710470835706,-12.6965177059174,-2.97810400417123,NA,-4.35790196061134,-6.5201114636643,-17.0706760883331,NA,NA,NA,NA,NA,NA
"Rock",-14.1855278863193,-8.7217934045522,8.10755550861359,-2.97338607163603,NA,-10.1783394813538,-3.84434277051176,-16.2093353271484,NA,NA,NA,NA,NA,NA
"ShiftingSand",-5.22899566787373,1.5706140034834,-1.66533246636391,-1.8783375565709,NA,-3.64791601896286,-5.24573556712664,-3.83352309465408,NA,NA,NA,NA,NA,NA
"Gelisol",0.40821402266042,-317.535748843403,4.35151070356369,0.416511067859488,NA,4.69400621950626,-3.58825350421289,-34.103410243988,NA,NA,NA,NA,NA,NA
"Histosol",-8.80831415512829,-34.5550106464237,-16.9422483444214,-1.18028501794937,NA,-3.73857319355011,-10.1731382284591,-24.6013140678406,NA,NA,NA,NA,NA,NA
"Spodosol",-34.6283925714388,-45.2060090600216,-41.3880300521851,-3.20665318941078,NA,-13.8774111866951,-9.31252942513631,-36.0778069496155,NA,NA,NA,NA,NA,NA
"Andisol",-26.0110348201875,-28.2451100278343,-18.2832980155945,-5.79319126241731,NA,-8.9371383190155,-8.20909726308141,-20.8019232749939,NA,NA,NA,NA,NA,NA
"Oxisol",-10.2491319958225,-6.99722440194576,-36.3299441337585,-4.95419344827023,NA,-3.74305509030819,-12.8094099043398,-18.9079165458679,NA,NA,NA,NA,NA,NA
"Vertisol",-5.41586069189448,5.7908904674475,-11.9054770469666,2.33793626724167,NA,-4.11279536783695,-5.80828717636634,-5.99516749382019,NA,NA,NA,NA,NA,NA
"Aridisol",-9.26330930215837,-3.95827906523104,-4.84583079814911,-2.56809411280855,NA,-5.74200674891472,-5.65052202864703,-7.84623146057129,NA,NA,NA,NA,NA,NA
"Ultisol",-10.5478201259943,-8.48889918322134,-17.0667254924774,-1.40613684760895,NA,-1.87069326639175,-6.93409015336498,-15.3981447219849,NA,NA,NA,NA,NA,NA
"Mollisol",-23.2308463305564,-32.9791734371115,-13.7200152873993,-5.70031234093029,NA,-6.77791237831116,-7.58428562306932,-9.72214996814728,NA,NA,NA,NA,NA,NA
"Alfisol",-18.1061216216024,-23.1780069316898,-20.2413415908813,-5.31518351825146,NA,-7.17786550521851,-6.29701664601242,-18.767694234848,NA,NA,NA,NA,NA,NA
"Inceptisol",-11.6557945258025,-57.4636570614586,-12.9479002952576,-4.25764240786694,NA,-4.60673533380032,-3.91493433840671,-26.287670135498,NA,NA,NA,NA,NA,NA
"Entisol",-7.39337413114203,-1.53540237565709,-7.85212159156799,-2.5277825248562,NA,-4.49265912175179,-7.23353911588283,-7.38712787628174,NA,NA,NA,NA,NA,NA
"GreatPlains",-34.6719336271953,-48.6125480917222,-18.6071789264679,-1.10927797593061,NA,-3.25730554759502,-13.1545839733692,4.4246518611908,NA,NA,NA,NA,NA,NA
"PampasPlain",3.34178800454062,1.29454191234685,-15.5866992473602,9.55590965078892,NA,-9.63103771209717,21.3445827164563,20.029764175415,NA,NA,NA,NA,NA,NA
"EurasianSteppe",-35.3192173071521,-52.5437466280035,-31.6534781455994,-11.9512417847847,NA,-15.5515342950821,-21.9601890152665,-29.833083152771,NA,NA,NA,NA,NA,NA
"ChinaMoll",1.67507035310242,31.6905360804026,32.6633405685425,6.44093084207193,NA,1.1797140352428,-2.76151384768614,0.516429990530014,NA,NA,NA,NA,NA,NA
